srcAddress,srcPort,destAddress,destPort,requestMethod,host,param,label
192.168.10.15,49439,131.253.61.98,80,GET,login.live.com,,0
192.168.10.15,49441,23.63.226.146,80,GET,ctldl.windowsupdate.com,9cdd8fd9bb275b8f,0
192.168.10.15,49442,23.60.139.27,80,GET,s2.symcb.com,,0
192.168.10.14,59142,184.50.238.233,80,GET,detectportal.firefox.com,,0
192.168.10.14,59146,72.21.91.29,80,POST,ocsp.digicert.com,,0
192.168.10.14,59147,72.21.91.29,80,POST,ocsp.digicert.com,,0
192.168.10.14,59148,72.21.91.29,80,POST,ocsp.digicert.com,,0
192.168.10.14,59142,184.50.238.233,80,GET,detectportal.firefox.com,,0
192.168.10.15,49448,23.15.4.16,80,GET,download.windowsupdate.com,,0
192.168.10.15,49448,23.15.4.16,80,GET,download.windowsupdate.com,,0
192.168.10.15,49448,23.15.4.16,80,GET,download.windowsupdate.com,,0
192.168.10.15,49448,23.15.4.16,80,GET,download.windowsupdate.com,,0
192.168.10.15,49448,23.15.4.16,80,GET,download.windowsupdate.com,,0
192.168.10.15,49448,23.15.4.16,80,GET,download.windowsupdate.com,,0
192.168.10.5,49179,23.63.226.169,80,GET,ctldl.windowsupdate.com,35a842e0ae89f3d6,0
192.168.10.14,59156,172.217.10.14,80,POST,clients1.google.com,,0
192.168.10.15,49452,13.107.4.50,80,HEAD,au.download.windowsupdate.com,,0
192.168.10.14,59159,72.21.91.29,80,POST,ocsp.digicert.com,,0
192.168.10.15,49452,13.107.4.50,80,GET,au.download.windowsupdate.com,,0
192.168.10.5,49192,23.15.4.17,80,HEAD,bg4.v4.emdl.ws.microsoft.com,,0
192.168.10.15,49452,13.107.4.50,80,GET,au.download.windowsupdate.com,,0
192.168.10.15,49452,13.107.4.50,80,GET,au.download.windowsupdate.com,,0
192.168.10.5,49192,23.15.4.17,80,GET,bg4.v4.emdl.ws.microsoft.com,,0
192.168.10.15,49452,13.107.4.50,80,GET,au.download.windowsupdate.com,,0
192.168.10.15,49452,13.107.4.50,80,GET,au.download.windowsupdate.com,,0
192.168.10.15,49452,13.107.4.50,80,GET,au.download.windowsupdate.com,,0
192.168.10.5,49192,23.15.4.17,80,GET,bg4.v4.emdl.ws.microsoft.com,,0
192.168.10.15,49452,13.107.4.50,80,GET,au.download.windowsupdate.com,,0
192.168.10.15,49452,13.107.4.50,80,GET,au.download.windowsupdate.com,,0
192.168.10.5,49192,23.15.4.17,80,GET,bg4.v4.emdl.ws.microsoft.com,,0
192.168.10.15,49452,13.107.4.50,80,GET,au.download.windowsupdate.com,,0
192.168.10.5,49192,23.15.4.17,80,GET,bg4.v4.emdl.ws.microsoft.com,,0
192.168.10.15,49452,13.107.4.50,80,GET,au.download.windowsupdate.com,,0
192.168.10.5,49192,23.15.4.17,80,GET,bg4.v4.emdl.ws.microsoft.com,,0
192.168.10.15,49452,13.107.4.50,80,GET,au.download.windowsupdate.com,,0
192.168.10.15,49452,13.107.4.50,80,GET,au.download.windowsupdate.com,,0
192.168.10.5,49193,184.84.243.216,80,HEAD,bg4.v4.a.dl.ws.microsoft.com,P1=1499343573&P2=1&P3=1&P4=yazeOos4Yc1GTHeFn0QY0%2ffCCuI%3d,0
192.168.10.15,49452,13.107.4.50,80,GET,au.download.windowsupdate.com,,0
192.168.10.5,49193,184.84.243.216,80,GET,bg4.v4.a.dl.ws.microsoft.com,P1=1499343573&P2=1&P3=1&P4=yazeOos4Yc1GTHeFn0QY0%2ffCCuI%3d,0
192.168.10.5,49193,184.84.243.216,80,GET,bg4.v4.a.dl.ws.microsoft.com,P1=1499343573&P2=1&P3=1&P4=yazeOos4Yc1GTHeFn0QY0%2ffCCuI%3d,0
192.168.10.5,49193,184.84.243.216,80,GET,bg4.v4.a.dl.ws.microsoft.com,P1=1499343573&P2=1&P3=1&P4=yazeOos4Yc1GTHeFn0QY0%2ffCCuI%3d,0
192.168.10.9,1057,63.238.216.16,80,GET,www.msftncsi.com,,0
192.168.10.5,49193,184.84.243.216,80,GET,bg4.v4.a.dl.ws.microsoft.com,P1=1499343573&P2=1&P3=1&P4=yazeOos4Yc1GTHeFn0QY0%2ffCCuI%3d,0
192.168.10.5,49193,184.84.243.216,80,GET,bg4.v4.a.dl.ws.microsoft.com,P1=1499343573&P2=1&P3=1&P4=yazeOos4Yc1GTHeFn0QY0%2ffCCuI%3d,0
192.168.10.5,49193,184.84.243.216,80,GET,bg4.v4.a.dl.ws.microsoft.com,P1=1499343573&P2=1&P3=1&P4=yazeOos4Yc1GTHeFn0QY0%2ffCCuI%3d,0
192.168.10.5,49193,184.84.243.216,80,GET,bg4.v4.a.dl.ws.microsoft.com,P1=1499343573&P2=1&P3=1&P4=yazeOos4Yc1GTHeFn0QY0%2ffCCuI%3d,0
192.168.10.5,49193,184.84.243.216,80,HEAD,bg4.v4.a.dl.ws.microsoft.com,P1=1499343573&P2=1&P3=1&P4=yazeOos4Yc1GTHeFn0QY0%2ffCCuI%3d,0
192.168.10.5,49193,184.84.243.216,80,GET,bg4.v4.a.dl.ws.microsoft.com,P1=1499343573&P2=1&P3=1&P4=yazeOos4Yc1GTHeFn0QY0%2ffCCuI%3d,0
192.168.10.5,49193,184.84.243.216,80,HEAD,bg4.v4.a.dl.ws.microsoft.com,P1=1499343573&P2=1&P3=1&P4=yazeOos4Yc1GTHeFn0QY0%2ffCCuI%3d,0
192.168.10.5,49193,184.84.243.216,80,GET,bg4.v4.a.dl.ws.microsoft.com,P1=1499343573&P2=1&P3=1&P4=yazeOos4Yc1GTHeFn0QY0%2ffCCuI%3d,0
192.168.10.15,49454,23.60.139.27,80,GET,ocsp.verisign.com,,0
192.168.10.14,59146,72.21.91.29,80,POST,ocsp.digicert.com,,0
192.168.10.14,59147,72.21.91.29,80,POST,ocsp.digicert.com,,0
192.168.10.15,49456,23.63.226.146,80,GET,ctldl.windowsupdate.com,99ef84d1b6dabf0b,0
192.168.10.9,1066,204.237.173.153,80,GET,detectportal.firefox.com,,0
192.168.10.9,1066,204.237.173.153,80,GET,detectportal.firefox.com,,0
192.168.10.9,1081,50.63.243.230,80,POST,ocsp.starfieldtech.com,,0
192.168.10.9,1077,72.21.91.29,80,POST,ocsp.digicert.com,,0
192.168.10.9,1078,72.21.91.29,80,POST,ocsp.digicert.com,,0
192.168.10.9,1079,72.21.91.29,80,POST,ocsp.digicert.com,,0
192.168.10.9,1080,72.21.91.29,80,POST,ocsp.digicert.com,,0
192.168.10.9,1083,172.217.10.14,80,POST,clients1.google.com,,0
192.168.10.9,1089,172.217.10.14,80,POST,clients1.google.com,,0
192.168.10.9,1090,172.217.10.14,80,POST,clients1.google.com,,0
192.168.10.9,1083,172.217.10.14,80,POST,clients1.google.com,,0
192.168.10.9,1083,172.217.10.14,80,POST,clients1.google.com,,0
192.168.10.9,1111,72.21.91.29,80,POST,ocsp.digicert.com,,0
192.168.10.9,1112,72.21.91.29,80,POST,ocsp.digicert.com,,0
192.168.10.9,1089,172.217.10.14,80,POST,clients1.google.com,,0
192.168.10.9,1090,172.217.10.14,80,POST,clients1.google.com,,0
